timestamp_utc,est_time,market,decision,buy_side,entry_price,exit_price,pnl,outcome,entry_remaining_secs,secs_to_60c,secs_to_70c,leader_bid_depth,leader_bid_70plus,other_bid_depth,depth_ratio,spread_at_buy,bid_levels_at_buy,btc_start,btc_at_buy,btc_at_end,btc_move_dollars,avg_spread,max_spread,spread_widened_before_exit,prev_window_side,prev_window_outcome,was_choppy,yes_high,no_high
2026-03-06 03:13:08,22:13:08,"Bitcoin Up or Down - March 5, 10:10PM-10:15PM ET",buy,Down,0.75,0.96,5.6,tp,163.0,113.1,133.8,6228.0,1426.0,931.0,6.69,0.03,75,71236.75,71197.0,71093.71,143.04,0.0131,0.03,False,Down,tp,False,0.51,0.96
2026-03-06 03:20:01,22:20:01,"Bitcoin Up or Down - March 5, 10:15PM-10:20PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71067.57,0.0,71075.4,7.83,0.0113,0.03,False,Down,tp,True,0.62,0.88
2026-03-06 03:23:58,22:23:58,"Bitcoin Up or Down - March 5, 10:20PM-10:25PM ET",buy,Up,0.7,0.99,8.29,tp,175.0,92.6,102.9,5086.0,4.0,1638.0,3.11,0.01,69,71075.4,71117.49,71212.19,136.79,0.0111,0.03,False,Down,tp,False,0.99,0.51
2026-03-06 03:29:38,22:29:38,"Bitcoin Up or Down - March 5, 10:25PM-10:30PM ET",buy,Down,0.81,0.94,3.21,tp,115.0,102.9,175.1,7118.0,1683.0,803.0,8.87,0.01,81,71187.12,71165.77,71154.46,32.66,0.0136,0.03,False,Up,tp,False,0.59,0.94
2026-03-06 03:35:07,22:35:07,"Bitcoin Up or Down - March 5, 10:30PM-10:35PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71171.9,0.0,71153.9,18.0,0.0125,0.03,False,Down,tp,True,0.63,0.99
2026-03-06 03:39:14,22:39:14,"Bitcoin Up or Down - March 5, 10:35PM-10:40PM ET",buy,Down,0.78,0.14,-16.41,sl,148.0,61.6,61.6,9825.0,2158.0,1067.0,9.21,0.01,77,71153.9,71100.43,71179.51,25.61,0.0126,0.05,False,Down,tp,True,0.85,0.78
2026-03-06 03:50:03,22:50:03,"Bitcoin Up or Down - March 5, 10:45PM-10:50PM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71098.99,0.0,71081.0,17.99,0.0139,0.04,False,Down,sl,False,0.9,0.57
2026-03-06 03:55:01,22:55:01,"Bitcoin Up or Down - March 5, 10:50PM-10:55PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71081.0,0.0,71067.9,13.1,0.0113,0.03,False,Down,sl,True,0.6,0.94
2026-03-06 03:58:58,22:58:58,"Bitcoin Up or Down - March 5, 10:55PM-11:00PM ET",buy,Down,0.71,0.23,-13.52,sl,154.0,61.6,82.2,6034.0,283.0,1441.0,4.19,0.01,71,71067.9,71030.93,71077.23,9.33,0.0111,0.02,False,Down,sl,True,0.69,0.71
2026-03-06 04:04:58,23:04:58,"Bitcoin Up or Down - March 5, 11:00PM-11:05PM ET",buy,Down,0.77,1.0,5.97,resolved-win,166.0,61.5,61.5,7082.0,1439.0,1097.0,6.46,0.01,77,71080.38,71023.46,71063.52,16.86,0.0238,0.18,True,Down,sl,True,0.69,0.89
2026-03-06 04:09:47,23:09:47,"Bitcoin Up or Down - March 5, 11:05PM-11:10PM ET",buy,Down,0.71,0.99,7.89,tp,167.0,123.4,123.4,4802.0,82.0,1583.0,3.03,0.03,71,71082.39,71019.8,70972.29,110.1,0.0126,0.03,False,Down,resolved-win,True,0.6,0.99
2026-03-06 04:13:54,23:13:54,"Bitcoin Up or Down - March 5, 11:10PM-11:15PM ET",buy,Down,0.74,0.95,5.68,tp,169.0,61.6,61.6,6171.0,410.0,1211.0,5.09,0.01,74,70969.99,70928.01,70920.89,49.1,0.01,0.01,False,Down,tp,False,0.4,0.95
